Genome_proportion,Contig_size
0,269763
0.01,145037
0.02,103093
0.03,77248
0.04,64049
0.05,54717
0.06,46633
0.07,40677
0.08,35581
0.09,31983
0.1,28438
0.11,25526
0.12,23046
0.13,20943
0.14,19551
0.15,18079
0.16,16802
0.17,15690
0.18,14671
0.19,13718
0.2,12956
0.21,12232
0.22,11557
0.23,10955
0.24,10296
0.25,9737
0.26,9222
0.27,8766
0.28,8313
0.29,7888
0.3,7452
0.31,7065
0.32,6695
0.33,6397
0.34,6110
0.35,5844
0.36,5568
0.37,5335
0.38,5102
0.39,4873
0.4,4683
0.41,4505
0.42,4330
0.43,4174
0.44,4017
0.45,3863
0.46,3723
0.47,3595
0.48,3464
0.49,3340
0.5,3226
0.51,3117
0.52,3011
0.53,2917
0.54,2824
0.55,2740
0.56,2655
0.57,2575
0.58,2504
0.59,2433
0.6,2365
0.61,2298
0.62,2237
0.63,2179
0.64,2121
0.65,2066
0.66,2013
0.67,1964
0.68,1916
0.69,1868
0.7,1823
0.71,1781
0.72,1741
0.73,1700
0.74,1661
0.75,1624
0.76,1588
0.77,1553
0.78,1519
0.79,1486
0.8,1456
0.81,1425
0.82,1396
0.83,1368
0.84,1341
0.85,1314
0.86,1288
0.87,1263
0.88,1240
0.89,1216
0.9,1193
0.91,1171
0.92,1150
0.93,1129
0.94,1108
0.95,1089
0.96,1069
0.97,1052
0.98,1034
0.99,1017
1,1000
