Longitude,Latitude,Cruise,Date,Depth,CTD_O2,PO4,SI,NO3,Mean_NH4,Std_NH4,Mean_NO2,Std_NO2,Mean_H2S,Std_H2S,Cells/ml,Mean_N2,Std_n2,Mean_O2,Std_o2,Mean_co2,Std_co2,Mean_N2O,Std_N2O,Mean_CH4,Std_CH4
-123.505,48.59166667,1,2006-02-18,10,NAN,2.416,NAN,26.703,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,212.028,NAN,NAN,NAN,NAN,NAN,123.024,NAN
-123.505,48.59166667,1,2006-02-18,25,NAN,2.112,NAN,23.238,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,218.443,NAN,NAN,NAN,NAN,NAN,119.543,NAN
-123.505,48.59166667,1,2006-02-18,40,NAN,2.143,NAN,19.496,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,218.799,NAN,NAN,NAN,NAN,NAN,120.723,NAN
-123.505,48.59166667,1,2006-02-18,55,NAN,2.491,NAN,22.596,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,204.376,NAN,NAN,NAN,NAN,NAN,109.471,NAN
-123.505,48.59166667,1,2006-02-18,70,NAN,2.245,NAN,23.051,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,161.947,NAN,NAN,NAN,NAN,NAN,97.172,NAN
-123.505,48.59166667,1,2006-02-18,80,NAN,2.803,NAN,23.097,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,135.558,NAN,NAN,NAN,NAN,NAN,97.363,NAN
-123.505,48.59166667,1,2006-02-18,90,NAN,2.931,NAN,23.12,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,96.451,NAN,NAN,NAN,NAN,NAN,95.596,NAN
-123.505,48.59166667,1,2006-02-18,100,NAN,3.417,NAN,21.021,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,51.146,NAN,NAN,NAN,NAN,NAN,93.838,NAN
-123.505,48.59166667,1,2006-02-18,112,NAN,4.084,NAN,15.711,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,22.397,NAN,NAN,NAN,NAN,NAN,96.657,NAN
-123.505,48.59166667,1,2006-02-18,125,NAN,4.29,NAN,9.716,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.026,NAN,NAN,NAN,NAN,NAN,145.008,NAN
